name,switch_motor,set,doubles,doubles2,blackboard,i2c
sc,0,2,67,82,9,0
sc,0,0,35,83,0,0
sc,0,0,66,79,0,0
sc,0,0,33,104,0,0
sc,0,1,58,81,0,0
sc,1,0,36,51,0,0
sc,0,0,28,59,0,0
sc,0,0,33,82,1,0
sc,0,0,34,47,0,0
sc,0,0,30,50,0,0
sc,0,0,40,53,0,0
sc,0,0,29,67,0,0
sc,0,0,28,78,0,0
sc,0,0,32,71,0,0
sc,0,0,35,64,0,0
sc,0,1,30,64,0,0
sc,0,1,28,60,0,0
sc,0,0,37,70,0,0
sc,0,0,31,72,0,0
sc,1,1,43,70,0,0
sc,0,1,33,55,0,0
sc,0,0,30,50,1,0
sc,0,0,25,45,0,0
sc,1,0,31,51,0,0
sc,1,1,44,61,0,0
sc,0,0,40,59,0,0
sc,0,0,32,55,0,0
sc,0,0,28,97,0,0
sc,0,0,30,49,0,0
sc,0,0,29,49,0,0
sc,0,0,27,50,0,0
sc,0,0,32,48,0,0
sc,0,0,31,47,0,0
sc,0,0,23,50,0,0
sc,0,0,31,47,0,0
sc,0,0,29,53,0,0
sc,0,0,31,50,0,0
sc,0,0,32,53,1,0
sc,0,0,29,52,0,0
sc,1,0,42,50,0,0
sc,0,0,30,52,0,0
sc,0,1,28,53,0,0
sc,1,0,30,51,0,0
sc,0,2,33,49,0,0
sc,0,0,26,51,0,0
sc,0,0,28,49,0,0
sc,1,0,33,50,0,0
sc,0,0,29,47,0,0
sc,0,1,32,53,0,0
sc,0,0,28,50,1,0
sc,1,2,32,52,0,0
sc,0,0,26,51,0,0
sc,1,0,26,47,0,0
sc,0,0,34,50,0,0
sc,0,0,30,56,0,0
sc,0,1,32,50,0,0
sc,1,0,33,58,0,0
sc,0,0,33,52,0,0
sc,0,1,34,52,0,0
sc,1,0,39,56,0,0
sc,0,0,30,50,0,0
sc,0,1,25,52,0,0
sc,0,0,26,102,1,0
sc,0,0,33,53,0,0
sc,0,0,31,48,0,0
sc,0,0,30,50,0,0
sc,0,0,26,44,0,0
sc,0,0,34,48,0,0
sc,0,0,28,49,0,0
sc,0,0,33,58,0,0
sc,0,1,39,58,0,0
sc,0,0,34,51,0,0
sc,0,1,30,51,0,0
sc,0,0,25,51,0,0
sc,0,1,41,59,0,0
sc,0,0,34,56,0,0
sc,0,1,26,46,1,0
sc,0,0,32,48,0,0
sc,0,0,28,46,0,0
sc,0,0,34,64,1,0
sc,0,0,40,77,0,0
sc,0,1,36,52,0,0
sc,0,0,26,50,0,0
sc,0,0,26,50,0,0
sc,0,0,26,49,0,0
sc,1,0,31,51,0,0
sc,0,1,30,56,0,0
sc,0,1,30,51,0,0
sc,0,1,33,56,0,0
sc,0,0,28,53,0,0
sc,0,1,32,63,0,0
sc,0,0,36,51,0,0
sc,0,0,34,48,0,0
sc,0,0,25,54,0,0
sc,0,0,30,49,0,0
sc,0,0,34,63,0,0
sc,0,0,33,50,0,0
sc,0,0,30,54,0,0
sc,0,1,28,49,0,0
sc,0,0,26,49,0,0
sc,0,0,25,47,0,0
sc,0,0,40,75,0,0
sc,1,0,43,71,0,0
sc,0,0,37,56,0,0
sc,0,1,32,51,0,0
sc,0,0,27,49,0,0
sc,0,1,29,50,0,0
sc,0,0,32,57,0,0
sc,0,0,29,48,0,0
sc,0,0,30,55,0,0
sc,1,0,34,56,0,0
sc,0,0,29,50,0,0
sc,0,0,36,55,0,0
sc,0,0,31,51,0,0
sc,0,0,30,54,0,0
sc,0,0,29,47,1,0
sc,0,0,26,58,0,0
sc,0,0,30,53,0,0
sc,0,0,29,53,0,0
sc,0,0,29,53,0,0
sc,0,0,40,67,0,0
sc,0,0,29,51,0,0
sc,0,1,33,53,0,0
sc,0,0,38,57,0,0
sc,0,0,28,48,0,0
sc,0,0,31,49,0,0
sc,0,1,33,49,1,0
sc,1,0,36,58,1,0
sc,0,1,28,54,0,0
sc,0,0,27,54,0,0
sc,0,0,28,53,0,0
sc,0,0,28,49,0,0
sc,0,0,26,57,0,0
sc,0,0,34,53,0,0
sc,0,0,31,55,0,0
sc,0,0,29,51,0,0
sc,0,0,30,52,0,0
sc,0,0,30,48,0,0
sc,0,0,31,55,0,0
sc,1,0,29,54,0,0
sc,1,0,30,51,0,0
sc,0,0,27,54,0,0
sc,0,0,33,49,0,0
sc,0,0,29,48,0,0
sc,0,1,46,59,0,0
sc,0,0,30,54,0,0
sc,0,0,28,51,0,0
sc,0,0,30,49,0,0
sc,0,0,27,49,0,0
sc,0,0,27,60,0,0
sc,0,1,31,49,0,0
sc,0,0,35,64,0,0
